fips_num,fips_str,incidents,killed,injured
6111,06111,3,3,2
5055,05055,3,2,1
36119,36119,2,0,2
48451,48451,2,5,2
20155,20155,1,0,1
1033,01033,2,0,0
48061,48061,1,1,0
42099,42099,1,2,0
22095,22095,3,0,1
39165,39165,4,2,0
48401,48401,1,1,0
42011,42011,3,1,2
18035,18035,2,2,0
1021,01021,1,0,1
5083,05083,1,0,0
51041,51041,1,2,0
48085,48085,4,2,2
47009,47009,4,0,0
45039,45039,2,1,3
21107,21107,3,2,0
22065,22065,1,0,6
1009,01009,2,1,0
13313,13313,1,0,0
22099,22099,1,0,0
33015,33015,2,0,0
22111,22111,1,0,0
39037,39037,1,0,0
1123,01123,1,1,0
12117,12117,6,2,1
21227,21227,3,0,2
1093,01093,1,0,0
15009,15009,1,0,1
55081,55081,1,0,1
5131,05131,3,1,0
1047,01047,5,4,0
1039,01039,1,0,0
28021,28021,2,2,0
23001,23001,2,0,0
47147,47147,1,0,1
50023,50023,3,0,0
21195,21195,1,0,0
5145,05145,3,1,1
17113,17113,1,0,1
1105,01105,1,0,1
41029,41029,2,0,1
42115,42115,1,0,1
48037,48037,3,0,1
24031,24031,2,0,0
22113,22113,3,0,1
27013,27013,2,0,0
12101,12101,2,1,2
48157,48157,4,1,3
37093,37093,3,0,1
29097,29097,1,0,0
17183,17183,3,0,2
18151,18151,1,0,0
13247,13247,2,0,0
17143,17143,7,0,2
13057,13057,2,0,2
50007,50007,5,0,0
12111,12111,10,5,3
12087,12087,1,0,0
39141,39141,1,0,0
49011,49011,1,3,0
26017,26017,2,0,0
45063,45063,1,0,0
17119,17119,3,1,1
17097,17097,1,0,1
22093,22093,1,0,1
12019,12019,2,0,1
28059,28059,2,1,1
21183,21183,1,0,1
35005,35005,1,0,2
21071,21071,2,0,0
47107,47107,2,1,0
54107,54107,1,1,0
39097,39097,1,0,0
51009,51009,1,1,0
55035,55035,1,0,1
26105,26105,2,2,0
42129,42129,2,1,1
18023,18023,1,0,1
1121,01121,1,0,1
36045,36045,2,0,0
21117,21117,2,2,1
6087,06087,2,0,0
39029,39029,1,0,1
41001,41001,1,0,1
54069,54069,1,0,0
55131,55131,2,0,0
20009,20009,1,0,3
42013,42013,3,0,0
5123,05123,1,0,0
51099,51099,1,0,1
18039,18039,1,3,0
18037,18037,1,0,0
37141,37141,1,0,0
48091,48091,1,0,0
17163,17163,4,3,0
22039,22039,1,0,0
5091,05091,1,0,2
18177,18177,1,0,0
55107,55107,1,0,0
37135,37135,2,0,1
36111,36111,3,0,1
27099,27099,2,0,0
39017,39017,7,2,3
48001,48001,1,1,1
50017,50017,1,1,0
47071,47071,1,0,1
12033,12033,2,1,1
17053,17053,1,0,1
12073,12073,4,0,3
40019,40019,3,2,5
37155,37155,2,0,1
54099,54099,1,0,0
49049,49049,2,7,1
51119,51119,1,0,0
37189,37189,1,0,0
26143,26143,1,1,0
22053,22053,2,2,0
45045,45045,7,2,6
50021,50021,1,0,0
34029,34029,2,0,0
48265,48265,1,0,1
40071,40071,1,0,1
51690,51690,1,0,1
31109,31109,2,1,0
37197,37197,1,0,0
1091,01091,2,0,1
42001,42001,2,0,2
24013,24013,2,0,1
26161,26161,2,0,1
4015,04015,2,1,1
21145,21145,1,1,0
54019,54019,1,0,0
21203,21203,1,0,0
29071,29071,2,0,2
18157,18157,3,2,1
23031,23031,2,0,0
26139,26139,2,0,2
48281,48281,1,0,1
20045,20045,1,0,1
54061,54061,2,1,1
45007,45007,2,2,0
30035,30035,1,0,1
37049,37049,1,0,1
48457,48457,2,4,0
48005,48005,2,0,0
56037,56037,1,0,1
29145,29145,1,0,0
48189,48189,1,0,0
37165,37165,1,1,1
55113,55113,1,1,0
42107,42107,2,1,1
37065,37065,1,1,0
53025,53025,1,0,0
12133,12133,1,0,1
21015,21015,2,0,3
51031,51031,2,0,1
51179,51179,1,1,0
17077,17077,5,0,1
53073,53073,3,1,0
51830,51830,1,0,1
55109,55109,3,0,3
40119,40119,1,0,1
48413,48413,1,1,0
18053,18053,1,0,1
5125,05125,3,0,0
27145,27145,1,0,1
13321,13321,1,0,0
21199,21199,3,0,1
39025,39025,1,0,0
36007,36007,1,0,0
35045,35045,1,1,0
37129,37129,8,2,2
1109,01109,1,0,2
42059,42059,1,0,0
18041,18041,2,0,2
12107,12107,4,1,2
1003,01003,1,1,1
17199,17199,1,0,0
24045,24045,1,0,2
27025,27025,1,0,0
39075,39075,1,2,0
36091,36091,1,0,0
13127,13127,3,0,1
48329,48329,1,0,0
22109,22109,1,0,0
18091,18091,2,0,1
47189,47189,1,2,0
13069,13069,1,0,0
47153,47153,1,1,0
28089,28089,1,1,0
16017,16017,1,0,0
30047,30047,1,0,0
42085,42085,1,1,0
39101,39101,1,0,0
39055,39055,1,0,0
53067,53067,2,1,1
48003,48003,2,0,0
37059,37059,1,0,1
41053,41053,1,0,1
21091,21091,1,1,0
47023,47023,1,0,1
35013,35013,2,0,1
28033,28033,2,0,2
21235,21235,1,0,1
37071,37071,1,2,0
40101,40101,1,1,0
29031,29031,2,0,2
1051,01051,2,0,0
39089,39089,1,0,1
8085,08085,1,0,1
13277,13277,2,1,0
21051,21051,1,0,0
55133,55133,4,1,0
26075,26075,2,1,0
35035,35035,1,0,0
18095,18095,1,0,1
26055,26055,1,0,0
45053,45053,1,0,0
39109,39109,1,0,0
28093,28093,5,2,0
45085,45085,1,1,0
51590,51590,1,0,0
29023,29023,1,0,0
48291,48291,1,1,0
5057,05057,1,0,1
22087,22087,1,0,0
18043,18043,1,0,0
47179,47179,1,0,0
15003,15003,2,0,1
29017,29017,1,1,0
22105,22105,1,1,0
8083,08083,1,0,0
48149,48149,1,1,0
39115,39115,1,0,0
9011,09011,1,0,0
39087,39087,1,0,0
20175,20175,1,0,2
48427,48427,2,0,0
35015,35015,1,0,0
45021,45021,1,1,0
19129,19129,1,0,1
29047,29047,1,1,1
1117,01117,2,1,2
46013,46013,1,0,1
17095,17095,1,0,0
22075,22075,1,0,0
6025,06025,3,1,0
35006,35006,1,1,0
18167,18167,1,1,0
35031,35031,1,1,0
13169,13169,1,0,1
21001,21001,1,0,0
37025,37025,1,0,0
48183,48183,2,2,0
44009,44009,1,0,0
48441,48441,2,0,3
54077,54077,1,0,0
35053,35053,1,0,2
32019,32019,1,0,1
12035,12035,1,0,0
24011,24011,1,0,0
45077,45077,1,1,0
9013,09013,1,0,0
6101,06101,1,1,0
28127,28127,1,1,0
51035,51035,1,0,1
13031,13031,1,1,0
21121,21121,1,1,0
1043,01043,1,1,0
45057,45057,1,0,0
56013,56013,1,0,1
48259,48259,1,0,0
19031,19031,1,0,0
51143,51143,1,0,0
54025,54025,2,1,0
41019,41019,1,2,0
55071,55071,1,0,0
1127,01127,1,1,0
22001,22001,1,0,0
2090,02090,2,0,1
37167,37167,2,0,0
29051,29051,1,0,1
48347,48347,1,2,0
51770,51770,2,0,2
26071,26071,1,0,1
39007,39007,1,2,1
28091,28091,1,0,0
21033,21033,1,0,0
30093,30093,1,1,0
42075,42075,2,0,1
6103,06103,1,0,0
47165,47165,3,0,1
39149,39149,1,0,0
39159,39159,1,0,0
22007,22007,2,0,0
49057,49057,1,0,1
22061,22061,1,0,1
42063,42063,2,0,1
8107,08107,1,0,1
34009,34009,2,0,1
17037,17037,1,1,1
28107,28107,1,0,1
17093,17093,1,1,0
25021,25021,1,0,0
37079,37079,1,1,0
1049,01049,1,1,0
55119,55119,1,0,0
46005,46005,1,0,0
22011,22011,1,1,0
46135,46135,1,0,0
44005,44005,1,0,1
25003,25003,1,0,0
41047,41047,1,0,0
28069,28069,1,0,1
32013,32013,1,0,0
36105,36105,1,0,0
19029,19029,1,0,0
18081,18081,1,0,0
54073,54073,1,0,1
1005,01005,1,1,0
28025,28025,1,0,0
42073,42073,2,2,0
28145,28145,1,0,0
47105,47105,1,0,0
16053,16053,1,1,0
10005,10005,1,0,0
19189,19189,1,0,0
45089,45089,1,1,0
21209,21209,1,0,0
28113,28113,1,0,1
5067,05067,1,0,0
22005,22005,1,1,0
8035,08035,2,4,0
26149,26149,1,0,1
48209,48209,1,1,0
5075,05075,1,0,0
48397,48397,2,2,2
8019,08019,1,0,1
26067,26067,1,0,0
39157,39157,1,0,0
18085,18085,1,0,0
51011,51011,1,1,0
51075,51075,1,1,0
48249,48249,1,0,1
41071,41071,1,0,0
38059,38059,1,1,0
19097,19097,1,0,0
36101,36101,1,0,0
27035,27035,1,0,0
26155,26155,1,0,1
5045,05045,1,0,1
19123,19123,1,0,0
22115,22115,1,0,0
45083,45083,1,0,1
42029,42029,1,1,1
21013,21013,1,0,0
26107,26107,1,0,1
18105,18105,1,0,0
25001,25001,1,0,0
13117,13117,1,0,0
21095,21095,1,0,0
17081,17081,1,0,0
56025,56025,1,0,0
