fips_num,fips_str,incidents,killed,injured
47105,47105,7,5,0
55041,55041,2,2,0
36065,36065,108,8,28
16005,16005,24,4,9
48479,48479,85,17,19
46083,46083,10,5,3
39029,39029,7,2,6
37017,37017,27,5,15
13009,13009,26,7,9
13183,13183,4,0,2
1005,1005,12,2,7
16073,16073,3,2,0
37125,37125,27,6,19
42097,42097,12,3,6
30007,30007,3,0,0
22039,22039,10,2,2
40089,40089,3,3,0
48349,48349,6,6,3
4003,4003,25,6,9
36109,36109,26,2,7
54025,54025,12,5,6
35017,35017,9,1,4
36083,36083,63,1,30
6017,6017,19,8,9
22089,22089,12,5,3
23013,23013,14,2,1
37019,37019,33,5,9
12041,12041,4,9,3
38015,38015,54,5,10
47113,47113,182,32,87
47107,47107,30,14,12
39089,39089,23,4,11
13113,13113,12,3,5
54069,54069,22,1,2
20103,20103,24,3,9
54091,54091,3,2,0
55031,55031,10,1,4
37155,37155,96,53,43
8043,8043,22,8,10
38105,38105,34,3,10
37083,37083,47,13,39
12015,12015,29,3,5
22005,22005,41,15,18
1129,1129,5,3,2
41039,41039,61,17,17
20155,20155,11,3,6
39109,39109,28,2,8
37147,37147,198,19,99
21147,21147,3,2,2
51155,51155,6,4,2
36049,36049,6,1,1
42099,42099,9,5,3
41017,41017,13,7,3
42121,42121,2,1,0
39101,39101,12,3,4
40021,40021,12,3,4
12055,12055,11,4,6
18127,18127,39,5,7
53045,53045,8,6,1
35047,35047,7,1,3
13057,13057,20,10,12
24017,24017,25,6,7
40079,40079,9,8,3
5139,5139,11,8,3
31177,31177,5,0,3
56043,56043,2,1,1
42095,42095,78,9,30
51003,51003,17,5,5
37101,37101,26,14,14
45085,45085,53,16,18
17093,17093,10,1,1
29183,29183,44,13,16
27107,27107,3,1,1
48039,48039,33,12,11
27027,27027,14,0,2
51590,51590,79,15,47
1039,1039,9,2,7
39093,39093,142,22,50
37065,37065,38,14,18
19065,19065,8,1,2
55073,55073,36,2,9
28067,28067,35,6,12
38025,38025,1,0,1
13031,13031,88,8,18
54099,54099,12,2,2
53025,53025,28,5,14
40101,40101,39,11,21
5087,5087,2,2,0
5051,5051,58,23,35
13235,13235,1,2,0
12039,12039,8,1,5
40037,40037,17,7,8
48249,48249,12,4,4
13081,13081,22,10,12
21195,21195,15,3,15
31037,31037,2,2,0
23009,23009,13,1,4
30065,30065,3,0,3
18081,18081,42,9,17
50023,50023,27,2,1
51019,51019,16,6,1
50001,50001,28,1,3
48485,48485,40,9,12
28031,28031,8,4,0
24015,24015,17,7,9
2170,2170,64,9,17
12093,12093,20,3,7
12131,12131,25,2,6
54019,54019,27,2,8
2050,2050,18,7,6
19033,19033,10,1,3
51029,51029,2,1,0
28095,28095,29,3,13
26071,26071,2,0,1
48063,48063,3,0,3
53005,53005,39,14,4
28033,28033,26,10,14
40065,40065,15,2,9
8001,8001,104,43,38
35045,35045,31,7,14
53015,53015,18,4,7
54009,54009,3,1,0
45003,45003,201,35,68
42029,42029,27,13,10
37153,37153,6,2,5
17199,17199,22,5,7
53067,53067,33,13,8
45053,45053,38,10,12
21005,21005,9,3,1
55009,55009,41,10,8
19139,19139,37,1,11
29007,29007,12,2,4
48225,48225,7,0,2
45057,45057,55,21,26
5047,5047,1,0,1
18065,18065,9,3,4
48251,48251,15,9,6
32007,32007,11,1,4
29021,29021,37,8,13
55087,55087,19,2,5
37135,37135,22,4,9
6015,6015,2,0,2
21009,21009,19,1,6
8013,8013,35,4,8
19083,19083,3,1,0
48041,48041,74,10,18
42051,42051,46,15,24
29053,29053,3,1,0
44009,44009,15,0,1
29157,29157,3,0,0
12059,12059,7,0,2
21115,21115,2,0,0
50021,50021,35,8,9
19067,19067,4,1,0
28149,28149,25,4,16
1103,1103,70,20,36
26017,26017,43,7,8
23007,23007,12,1,1
8093,8093,4,3,3
39045,39045,31,4,10
22117,22117,21,7,6
42001,42001,9,4,4
4001,4001,6,6,3
13131,13131,4,1,2
55135,55135,7,3,2
54105,54105,1,1,0
30049,30049,29,6,2
48303,48303,158,30,61
34011,34011,128,28,55
28101,28101,9,2,7
40097,40097,9,2,4
29115,29115,1,0,1
13013,13013,37,3,3
51680,51680,49,13,23
2110,2110,36,2,2
25003,25003,79,5,13
6021,6021,7,0,3
5115,5115,11,7,3
40083,40083,11,0,4
